.\client\node_modules\.vite\deps\react_jsx-runtime.js - Lines: 6, Functions: 0, Imports: 3
.\client\node_modules\.vite\deps\zod.js - Lines: 4159, Functions: 51, Imports: 1
.\client\node_modules\.vite\deps\zustand.js - Lines: 56, Functions: 2, Imports: 2
.\client\node_modules\.vite\deps\zustand_middleware.js - Lines: 468, Functions: 6, Imports: 5
.\client\node_modules\@puppeteer\browsers\lib\cjs\Cache.js - Lines: 191, Functions: 2, Imports: 0
.\client\node_modules\@puppeteer\browsers\lib\cjs\CLI.js - Lines: 365, Functions: 11, Imports: 2
.\client\node_modules\@puppeteer\browsers\lib\cjs\debug.js - Lines: 14, Functions: 1, Imports: 0
.\client\node_modules\@puppeteer\browsers\lib\cjs\detectPlatform.js - Lines: 53, Functions: 3, Imports: 0
.\client\node_modules\@puppeteer\browsers\lib\cjs\fileUtil.js - Lines: 196, Functions: 15, Imports: 2
.\client\node_modules\@puppeteer\browsers\lib\cjs\httpUtil.js - Lines: 172, Functions: 15, Imports: 0
.\client\node_modules\@puppeteer\browsers\lib\cjs\install.js - Lines: 294, Functions: 13, Imports: 0
.\client\node_modules\@puppeteer\browsers\lib\cjs\launch.js - Lines: 429, Functions: 11, Imports: 0
.\client\node_modules\@puppeteer\browsers\lib\cjs\main-cli.js - Lines: 11, Functions: 0, Imports: 0
.\client\node_modules\@puppeteer\browsers\lib\cjs\main.js - Lines: 40, Functions: 24, Imports: 0
.\client\node_modules\@puppeteer\browsers\lib\cjs\browser-data\browser-data.js - Lines: 261, Functions: 18, Imports: 0
.\client\node_modules\@puppeteer\browsers\lib\cjs\browser-data\chrome-headless-shell.js - Lines: 58, Functions: 7, Imports: 0
.\client\node_modules\@puppeteer\browsers\lib\cjs\browser-data\chrome.js - Lines: 241, Functions: 14, Imports: 0
.\client\node_modules\@puppeteer\browsers\lib\cjs\browser-data\chromedriver.js - Lines: 54, Functions: 7, Imports: 0
.\client\node_modules\@puppeteer\browsers\lib\cjs\browser-data\chromium.js - Lines: 73, Functions: 8, Imports: 0
.\client\node_modules\@puppeteer\browsers\lib\cjs\browser-data\firefox.js - Lines: 381, Functions: 18, Imports: 0
.\client\node_modules\@puppeteer\browsers\lib\cjs\browser-data\types.js - Lines: 66, Functions: 4, Imports: 0
.\client\node_modules\@puppeteer\browsers\lib\esm\Cache.js - Lines: 183, Functions: 1, Imports: 6
.\client\node_modules\@puppeteer\browsers\lib\esm\CLI.js - Lines: 328, Functions: 2, Imports: 9
.\client\node_modules\@puppeteer\browsers\lib\esm\debug.js - Lines: 8, Functions: 0, Imports: 1
.\client\node_modules\@puppeteer\browsers\lib\esm\detectPlatform.js - Lines: 47, Functions: 2, Imports: 2
.\client\node_modules\@puppeteer\browsers\lib\esm\fileUtil.js - Lines: 156, Functions: 5, Imports: 8
.\client\node_modules\@puppeteer\browsers\lib\esm\httpUtil.js - Lines: 132, Functions: 6, Imports: 5
.\client\node_modules\@puppeteer\browsers\lib\esm\install.js - Lines: 283, Functions: 12, Imports: 13
.\client\node_modules\@puppeteer\browsers\lib\esm\launch.js - Lines: 416, Functions: 10, Imports: 9
.\client\node_modules\@puppeteer\browsers\lib\esm\main-cli.js - Lines: 9, Functions: 0, Imports: 1
.\client\node_modules\@puppeteer\browsers\lib\esm\main.js - Lines: 13, Functions: 0, Imports: 0
.\client\node_modules\@puppeteer\browsers\lib\esm\browser-data\browser-data.js - Lines: 218, Functions: 6, Imports: 6
.\client\node_modules\@puppeteer\browsers\lib\esm\browser-data\chrome-headless-shell.js - Lines: 47, Functions: 4, Imports: 2
.\client\node_modules\@puppeteer\browsers\lib\esm\browser-data\chrome.js - Lines: 227, Functions: 13, Imports: 5
.\client\node_modules\@puppeteer\browsers\lib\esm\browser-data\chromedriver.js - Lines: 43, Functions: 4, Imports: 2
.\client\node_modules\@puppeteer\browsers\lib\esm\browser-data\chromium.js - Lines: 63, Functions: 7, Imports: 3
.\client\node_modules\@puppeteer\browsers\lib\esm\browser-data\firefox.js - Lines: 369, Functions: 17, Imports: 4
.\client\node_modules\@puppeteer\browsers\lib\esm\browser-data\types.js - Lines: 63, Functions: 4, Imports: 0
.\client\node_modules\argparse\argparse.js - Lines: 3707, Functions: 48, Imports: 1
.\client\node_modules\argparse\lib\sub.js - Lines: 67, Functions: 2, Imports: 0
.\client\node_modules\argparse\lib\textwrap.js - Lines: 440, Functions: 3, Imports: 0
.\client\node_modules\chromium-bidi\lib\cjs\index.js - Lines: 55, Functions: 9, Imports: 0
.\client\node_modules\chromium-bidi\lib\cjs\bidiMapper\BidiMapper.js - Lines: 31, Functions: 3, Imports: 2
.\client\node_modules\chromium-bidi\lib\cjs\bidiMapper\BidiNoOpParser.js - Lines: 265, Functions: 0, Imports: 0
.\client\node_modules\chromium-bidi\lib\cjs\bidiMapper\BidiParser.js - Lines: 19, Functions: 0, Imports: 0
.\client\node_modules\chromium-bidi\lib\cjs\bidiMapper\BidiServer.js - Lines: 153, Functions: 0, Imports: 0
.\client\node_modules\chromium-bidi\lib\cjs\bidiMapper\BidiTransport.js - Lines: 19, Functions: 0, Imports: 0
.\client\node_modules\chromium-bidi\lib\cjs\bidiMapper\CommandProcessor.js - Lines: 321, Functions: 0, Imports: 0
.\client\node_modules\chromium-bidi\lib\cjs\bidiMapper\MapperOptions.js - Lines: 20, Functions: 0, Imports: 0
.\client\node_modules\chromium-bidi\lib\cjs\bidiMapper\OutgoingMessage.js - Lines: 52, Functions: 0, Imports: 0
.\client\node_modules\chromium-bidi\lib\cjs\bidiMapper\modules\bluetooth\BluetoothProcessor.js - Lines: 411, Functions: 0, Imports: 0
.\client\node_modules\chromium-bidi\lib\cjs\bidiMapper\modules\browser\BrowserProcessor.js - Lines: 253, Functions: 1, Imports: 0
.\client\node_modules\chromium-bidi\lib\cjs\bidiMapper\modules\browser\ContextConfig.js - Lines: 71, Functions: 0, Imports: 0
.\client\node_modules\chromium-bidi\lib\cjs\bidiMapper\modules\browser\ContextConfigStorage.js - Lines: 96, Functions: 0, Imports: 0
